Taxon	Count
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Sinobacteraceae Sinobacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Sinobacteraceae Steroidobacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Xanthomonadaceae Frateuria"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Xanthomonadaceae Luteibacter"	2
"Bacteria ""Spirochaetes"" Spirochaetes Spirochaetales Spirochaetales_incertae_sedis Exilispira"	1
"Bacteria ""Synergistetes"" Synergistia Synergistales Synergistaceae Aminiphilus"	2
"Bacteria ""Synergistetes"" Synergistia Synergistales Synergistaceae Aminomonas"	1
"Bacteria ""Synergistetes"" Synergistia Synergistales Synergistaceae Thermovirga"	1
"Bacteria ""Tenericutes"" Mollicutes Haloplasmatales Haloplasmataceae Haloplasma"	1
"Bacteria ""Thermodesulfobacteria"" Thermodesulfobacteria Thermodesulfobacteriales Thermodesulfobacteriaceae Caldimicrobium"	1
"Bacteria ""Thermotogae"" Thermotogae Thermotogales Thermotogaceae Geotoga"	7
"Bacteria ""Thermotogae"" Thermotogae Thermotogales Thermotogaceae Kosmotoga"	9
"Bacteria ""Verrucomicrobia"" Opitutae Opitutales Opitutaceae Alterococcus"	1
Bacteria Cyanobacteria Cyanobacteria  Chloroplast Bangiophyceae	2
Bacteria Cyanobacteria Cyanobacteria  Chloroplast Chlorarachniophyceae	85
Bacteria Cyanobacteria Cyanobacteria  Chloroplast Streptophyta	1388
